ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
3732,M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10,0.378
3733,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8,0.134
3734,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9,0.129
3735,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9,0.289
3736,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15,0.21
3737,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,0.472
3738,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,0.343
3739,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,0.517
3740,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,0.477
3741,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,0.359
3742,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8,0.226
3743,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8,0.118
3744,I,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7,0.052
3745,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,0.136
3746,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8,0.1
3747,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9,0.404
3748,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,0.234
3749,I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9,0.096
3750,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13,0.522
3751,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8,0.187
3752,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,0.212
3753,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,0.555
3754,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,0.4
3755,I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8,0.121
3756,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,0.372
3757,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,0.087
3758,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,0.523
3759,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,0.142
3760,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,0.156
3761,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10,0.156
3762,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5,0.031
3763,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4,0.029
3764,M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10,0.456
3765,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10,0.268
3766,I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7,0.042
3767,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8,0.086
3768,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,0.179
3769,M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10,0.26
3770,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.138
3771,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,0.015
3772,F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,0.376
3773,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,0.672
3774,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,0.23
3775,M,0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,9,0.184
3776,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,0.104
3777,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,0.118
3778,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,0.21
3779,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,0.308
3780,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,0.279
3781,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,0.29
3782,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10,0.21
3783,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7,0.13
3784,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,0.247
3785,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,0.032
3786,M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10,0.281
3787,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5,0.035
3788,F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10,0.249
3789,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,0.215
3790,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7,0.05
3791,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7,0.101
3792,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10,0.309
3793,M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,8,0.254
3794,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,0.486
3795,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,0.033
3796,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,0.526
3797,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7,0.063
3798,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11,0.47
3799,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,0.066
3800,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,0.303
3801,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9,0.381
3802,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7,0.089
3803,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9,0.335
3804,I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6,0.029
3805,F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10,0.234
3806,M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9,0.205
3807,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.484
3808,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,0.092
3809,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,0.23
3810,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,0.056
3811,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,0.288
3812,M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9,0.301
3813,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,0.047
3814,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10,0.25
3815,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11,0.108
3816,M,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,0.254
3817,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,0.331
3818,M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11,0.497
3819,F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,9,0.39
3820,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10,0.37
3821,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11,0.459
3822,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7,0.055
3823,I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7,0.08
3824,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,0.159
3825,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,0.073
3826,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,0.369
3827,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9,0.385
3828,M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8,0.505
3829,M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,0.1
3830,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7,0.077
3831,M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11,0.508
3832,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,0.284
3833,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,0.407
3834,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,0.404
3835,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9,0.348
3836,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,0.22
3837,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5,0.026
3838,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,0.523
3839,M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7,0.01
3840,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9,0.256
3841,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10,0.462
3842,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11,0.497
3843,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8,0.239
3844,F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9,0.253
3845,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3,0.006
3846,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16,0.28
3847,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9,0.237
3848,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,0.095
3849,M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11,0.062
3850,M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,0.219
3851,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,0.266
3852,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17,0.52
3853,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9,0.195
3854,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9,0.517
3855,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.292
3856,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,0.319
3857,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12,0.184
3858,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7,0.068
3859,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11,0.359
3860,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,0.031
3861,M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9,0.303
3862,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11,0.354
3863,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7,0.092
3864,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5,0.015
3865,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,0.032
3866,M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,0.327
3867,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,0.306
3868,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,0.102
3869,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,0.463
3870,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7,0.057
3871,F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8,0.171
3872,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9,0.095
3873,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9,0.091
3874,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,0.093
3875,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,0.28
3876,M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,0.25
3877,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,0.138
3878,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,0.388
3879,I,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11,0.229
3880,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,0.295
3881,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,0.108
3882,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,0.084
3883,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10,0.247
3884,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,0.217
3885,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8,0.485
3886,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10,0.053
3887,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12,0.186
3888,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8,0.241
3889,F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,0.39
3890,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6,0.06
3891,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8,0.151
3892,M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11,0.343
3893,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,0.71
3894,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,0.035
3895,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8,0.121
3896,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,0.044
3897,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8,0.093
3898,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,0.211
3899,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9,0.23
3900,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11,0.337
3901,I,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7,0.072
3902,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9,0.282
3903,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21,0.422
3904,M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,0.312
3905,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,0.164
3906,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5,0.042
3907,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,0.314
3908,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,0.328
3909,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,0.089
3910,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,0.107
3911,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9,0.158
3912,M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8,0.323
3913,M,0.76,0.605,0.215,2.173,0.801,0.4915,0.646,13,0.726
3914,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,0.244
3915,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9,0.08
3916,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.043
3917,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,0.038
3918,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,0.322
3919,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,0.226
3920,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5,0.036
3921,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15,0.17
3922,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13,0.456
3923,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,0.317
3924,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0.033
3925,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,0.207
3926,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8,0.128
3927,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5,0.045
3928,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9,0.289
3929,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13,0.253
3930,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10,0.307
3931,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9,0.228
3932,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6,0.047
3933,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8,0.285
3934,F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7,0.069
3935,I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8,0.05
3936,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8,0.093
3937,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,0.236
3938,I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,0.061
3939,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7,0.126
3940,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5,0.045
3941,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0.096
3942,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6,0.121
3943,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,0.275
3944,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8,0.111
3945,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7,0.177
3946,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,0.146
3947,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12,0.186
3948,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4,0.009
3949,I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5,0.026
3950,F,0.615,0.47,0.155,1.084,0.5885,0.209,0.246,9,0.25
3951,I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6,0.076
3952,F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9,0.281
3953,F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,0.466
3954,F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9,0.446
3955,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,0.136
3956,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10,0.364
3957,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,0.29
3958,F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,9,0.352
3959,I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8,0.222
3960,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23,0.41
3961,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,0.05
3962,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6,0.086
3963,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7,0.076
3964,I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10,0.32
3965,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10,0.102
3966,F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,0.582
3967,M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9,0.394
3968,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,0.343
3969,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,0.223
3970,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,8,0.306
3971,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9,0.373
3972,M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14,0.3
3973,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10,0.319
3974,I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11,0.146
3975,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8,0.131
3976,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,0.133
3977,I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8,0.073
3978,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20,0.368
3979,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10,0.172
3980,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,0.1
3981,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11,0.468
3982,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13,0.369
3983,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20,0.414
3984,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9,0.252
3985,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,9,0.242
3986,F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15,0.171
3987,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13,0.328
3988,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9,0.182
3989,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,0.517
3990,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8,0.086
3991,I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8,0.14
3992,I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10,0.182
3993,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,0.087
3994,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,0.853
3995,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,0.05
3996,I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6,0.079
3997,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0.033
3998,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9,0.144
3999,F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11,0.532
4000,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6,0.081
4001,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,0.149
4002,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16,0.157
4003,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8,0.064
4004,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,0.142
4005,M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11,0.495
4006,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10,0.347
4007,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,0.178
4008,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12,0.737
4009,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10,0.122
4010,I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9,0.142
4011,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11,0.338
4012,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,0.472
4013,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,0.149
4014,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10,0.387
4015,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10,0.236
4016,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17,0.316
4017,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,0.124
4018,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6,0.022
4019,M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16,0.204
4020,M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11,0.448
4021,I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6,0.076
4022,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0.145
4023,I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6,0.041
4024,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19,0.231
4025,F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,10,0.471
4026,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9,0.214
4027,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,0.046
4028,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10,0.33
4029,F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9,0.287
4030,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9,0.065
4031,I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6,0.08
4032,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8,0.067
4033,F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13,0.433
4034,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4,0.037
4035,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13,0.076
4036,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,0.019
4037,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,0.135
4038,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,0.315
4039,F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10,0.281
4040,M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5,0.008
4041,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10,0.398
4042,M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13,0.308
4043,M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6,0.039
4044,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10,0.312
4045,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,0.103
4046,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11,0.278
4047,F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,0.066
4048,M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10,0.296
4049,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,0.337
4050,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,0.251
4051,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11,0.379
4052,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9,0.229
4053,F,0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13,0.385
4054,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10,0.319
4055,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,0.048
4056,M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11,0.298
4057,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11,0.091
4058,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16,0.385
4059,M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,0.451
4060,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11,0.236
4061,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,0.314
4062,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12,0.417
4063,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6,0.13
4064,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,0.112
4065,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,0.007
4066,I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10,0.222
4067,F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12,0.717
4068,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4,0.016
4069,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,0.195
4070,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12,0.65
4071,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9,0.348
4072,F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13,0.43
4073,F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10,0.279
